Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
J2,RGB LED,CONN-SIL4,,TOP,180,2213.78,1377.95
J3,Timer Board,CONN-SIL10,,TOP,270,1476.38,729.528
J4,Bench Power Supply,SIL-100-02R,,TOP,0,542.126,590.551
J6,RPM Sensor,CONN-SIL4,,TOP,0,542.126,1476.38
J8,HC-SR04 Distance Sensor,CONN-SIL4,,TOP,180,538.976,1181.1
J9,USART Connector,SIL-100-03,,TOP,270,2165.35,1674.8
J7,Brush Motor,SIL-100-02,,TOP,180,1426.38,98.4252
J15,Bench Power Supply,SIL-100-02R,,TOP,90,887.402,246.85
U1,ECE298_RS_74HCT541,SO20W,,TOP,-180,1968.5,984.252
U2,ECE298_RS_CMOS4050,SO16,,TOP,0,590.551,1771.65
U3,Motor Controller (L9110),SO8,,TOP,0,1181.1,393.701
U4,ECE298_RS_CMOS4050,SO16,,TOP,270,1078.6,663.976
U5,ECE298_RS_74HCT541,SO20W,,TOP,0,1853.23,367.126
J1,Servo,SIL-100-03,,TOP,90,2263.78,296.85
RV1,10K,TRIM_3361P,Digikey 3361P-103GLFDKR-ND,TOP,0,1082.68,1082.68
R1,150,RESC1005X40,Digikey 311-150JDKR-ND,BOT,-90,2232.28,1098.43
R2,80,RESC1005X40,Digikey 311-180JCT-ND,BOT,-90,2362.2,1102.36
R3,80,RESC1005X40,Digikey 311-200JCT-ND,BOT,-90,2066.93,1102.36
C5,10u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,555.118,787.402
C10,10u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,-90,688.976,232.283
C2,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,456.693,1342.52
C1,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,270,374.016,1649.61
R4,1K,RESC1005X40,Digikey 311-240JCT-ND,BOT,0,1858.27,519.685
C9,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,-180,1177.17,437.008
C6,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,1181.1,287.402
C7,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,0,1082.68,1070.87
C4,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,381.89,1011.81
C8,100u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,385.827,822.835
C12,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,90,1602.36,326.772
C13,0.1u,CAPC2012X100,Digikey PCC2182TR-ND,BOT,180,2188.98,527.559
J5,Test Probe,PIN,,TOP,0,1354.33,570.866
J11,Test Probe,PIN,,TOP,0,850.394,877.953
J13,Test Probe,PIN,,TOP,0,2129.92,1996.06
J10,Test Probe,PIN,,TOP,0,2444.88,2118.11
J12,Test Probe,PIN,,TOP,0,440.945,2212.6
J16,Test Probe,PIN,,TOP,0,173.228,2204.72
